# x_m,y_m,w_tr_right_m,w_tr_left_m
5.0311,8.8500,0.3606,0.3606
4.9811,8.8000,0.3711,0.3711
4.9311,8.7500,0.3882,0.3882
4.8811,8.7000,0.4000,0.4000
4.8311,8.6500,0.4132,0.4132
4.7811,8.6000,0.4310,0.4310
4.7311,8.5500,0.4278,0.4278
4.7311,8.5000,0.4310,0.4310
4.6811,8.4500,0.4406,0.4406
4.6311,8.4000,0.4562,0.4562
4.5811,8.3500,0.4639,0.4639
4.5311,8.3000,0.4639,0.4639
4.4811,8.2500,0.4639,0.4639
4.4311,8.2000,0.4701,0.4701
4.3811,8.1500,0.4822,0.4822
4.3811,8.1000,0.4822,0.4822
4.3311,8.0500,0.5000,0.5000
4.2811,8.0000,0.5102,0.5102
4.2311,7.9500,0.5246,0.5246
4.1811,7.9000,0.5346,0.5346
4.1811,7.8500,0.5232,0.5232
4.1311,7.8000,0.5514,0.5514
4.1311,7.7500,0.5360,0.5360
4.0811,7.7000,0.5692,0.5692
4.0811,7.6500,0.5514,0.5514
4.0811,7.6000,0.5360,0.5360
4.0311,7.5500,0.5692,0.5692
4.0311,7.5000,0.5514,0.5514
4.0311,7.4500,0.5360,0.5360
3.9811,7.4000,0.5720,0.5720
3.9811,7.3500,0.5624,0.5624
3.9311,7.3000,0.6052,0.6052
3.9311,7.2500,0.6013,0.6013
3.9311,7.2000,0.6000,0.6000
3.8811,7.1500,0.6500,0.6500
3.8811,7.1000,0.6500,0.6500
3.8811,7.0500,0.6500,0.6500
3.8311,7.0000,0.7000,0.7000
3.8311,6.9500,0.7000,0.7000
3.7811,6.9000,0.7500,0.7500
3.7811,6.8500,0.7500,0.7500
3.7811,6.8000,0.7500,0.7500
3.7811,6.7500,0.7500,0.7500
3.7811,6.7000,0.7500,0.7500
3.7811,6.6500,0.7511,0.7511
3.7811,6.6000,0.7545,0.7545
3.7811,6.5500,0.7602,0.7602
3.7811,6.5000,0.7680,0.7680
3.7811,6.4500,0.7781,0.7781
3.7811,6.4000,0.7902,0.7902
3.7811,6.3500,0.8000,0.8000
3.7811,6.3000,0.8000,0.8000
3.7811,6.2500,0.8000,0.8000
3.8311,6.2000,0.8385,0.8385
3.8311,6.1500,0.8500,0.8500
3.8311,6.1000,0.8500,0.8500
3.8811,6.0500,0.8583,0.8583
3.8811,6.0000,0.8798,0.8798
3.9311,5.9500,0.8593,0.8593
3.9311,5.9000,0.8849,0.8849
3.9811,5.8500,0.8707,0.8707
3.9811,5.8000,0.8604,0.8604
4.0311,5.7500,0.8707,0.8707
4.0811,5.7000,0.8707,0.8707
4.1311,5.6500,0.8604,0.8604
4.1311,5.6000,0.8521,0.8521
4.1811,5.5500,0.8521,0.8521
4.2311,5.5000,0.8521,0.8521
4.2811,5.4500,0.8521,0.8521
4.3311,5.4000,0.8521,0.8521
4.3811,5.3500,0.8427,0.8427
4.4311,5.3000,0.8300,0.8300
4.4811,5.2500,0.8130,0.8130
4.5311,5.2000,0.7913,0.7913
4.5311,5.1500,0.8162,0.8162
4.5811,5.1000,0.8011,0.8011
4.5811,5.0500,0.7902,0.7902
4.6311,5.0000,0.8011,0.8011
4.6811,4.9500,0.7736,0.7736
4.7311,4.9000,0.7095,0.7095
4.7311,4.8500,0.6940,0.6940
4.7811,4.8000,0.6323,0.6323
4.7811,4.7500,0.6157,0.6157
4.8311,4.7000,0.5514,0.5514
4.8311,4.6500,0.5360,0.5360
4.8311,4.6000,0.5232,0.5232
4.8811,4.5500,0.4639,0.4639
4.8811,4.5000,0.4562,0.4562
4.8811,4.4500,0.4516,0.4516
4.9311,4.4000,0.4000,0.4000
4.9311,4.3500,0.4000,0.4000
4.9311,4.3000,0.4000,0.4000
4.9811,4.2500,0.3500,0.3500
4.9811,4.2000,0.3500,0.3500
4.9811,4.1500,0.3500,0.3500
5.0311,4.1000,0.3000,0.3000
5.0311,4.0500,0.3019,0.3019
5.0311,4.0000,0.3076,0.3076
5.0311,3.9500,0.3171,0.3171
5.0811,3.9000,0.2825,0.2825
5.0811,3.8500,0.3000,0.3000
5.0811,3.8000,0.3171,0.3171
5.1311,3.7500,0.2825,0.2825
5.1311,3.7000,0.2864,0.2864
5.1811,3.6500,0.2765,0.2765
5.2311,3.6000,0.2603,0.2603
5.2811,3.5500,0.2521,0.2521
5.2811,3.5000,0.2521,0.2521
5.3311,3.4500,0.2603,0.2603
5.3811,3.4000,0.2521,0.2521
5.4311,3.3500,0.2521,0.2521
5.4811,3.3000,0.2521,0.2521
5.5311,3.2500,0.2521,0.2521
5.5811,3.2000,0.2603,0.2603
5.6311,3.1500,0.2765,0.2765
5.6811,3.1000,0.2903,0.2903
5.7311,3.0500,0.3019,0.3019
5.7811,3.0000,0.3208,0.3208
5.8311,2.9500,0.3227,0.3227
5.8811,2.9500,0.3208,0.3208
5.9311,2.9000,0.3464,0.3464
5.9811,2.9000,0.3301,0.3301
6.0311,2.8500,0.3659,0.3659
6.0811,2.8500,0.3464,0.3464
6.1311,2.8000,0.3780,0.3780
6.1811,2.8000,0.3659,0.3659
6.2311,2.8000,0.3571,0.3571
6.2811,2.7500,0.4017,0.4017
6.3311,2.7500,0.4000,0.4000
6.3811,2.7500,0.4000,0.4000
6.4311,2.7000,0.4500,0.4500
6.4811,2.7000,0.4500,0.4500
6.5311,2.7000,0.4500,0.4500
6.5811,2.7000,0.4500,0.4500
6.6311,2.7000,0.4500,0.4500
6.6811,2.7000,0.4500,0.4500
6.7311,2.7000,0.4516,0.4516
6.7811,2.7000,0.4562,0.4562
6.8311,2.7000,0.4639,0.4639
6.8811,2.7000,0.4746,0.4746
6.9311,2.7000,0.4882,0.4882
6.9811,2.6500,0.4500,0.4500
7.0311,2.6500,0.4500,0.4500
7.0811,2.6500,0.4500,0.4500
7.1311,2.6500,0.4500,0.4500
7.1811,2.6500,0.4500,0.4500
7.2311,2.6500,0.4500,0.4500
7.2811,2.6500,0.4500,0.4500
7.3311,2.6500,0.4500,0.4500
7.3811,2.7000,0.5000,0.5000
7.4311,2.7000,0.5000,0.5000
7.4811,2.7000,0.5000,0.5000
7.5311,2.7500,0.5500,0.5500
7.5811,2.7500,0.5500,0.5500
7.6311,2.8000,0.6000,0.6000
7.6811,2.8000,0.6000,0.6000
7.7311,2.8500,0.6512,0.6512
7.7811,2.9000,0.6808,0.6808
7.8311,2.9500,0.6904,0.6904
7.8811,3.0000,0.7048,0.7048
7.9311,3.0500,0.7048,0.7048
7.9811,3.1000,0.6904,0.6904
8.0311,3.1500,0.6808,0.6808
8.0811,3.1500,0.6759,0.6759
8.1311,3.2000,0.6512,0.6512
8.1811,3.2500,0.6052,0.6052
8.2311,3.3000,0.5624,0.5624
8.2811,3.3500,0.5232,0.5232
8.2811,3.4000,0.5360,0.5360
8.2811,3.4500,0.5500,0.5500
8.2811,3.5000,0.5500,0.5500
8.2811,3.5500,0.5500,0.5500
8.2811,3.6000,0.5500,0.5500
8.2811,3.6500,0.5444,0.5444
8.2811,3.7000,0.5232,0.5232
8.2811,3.7500,0.5044,0.5044
8.2311,3.8000,0.4406,0.4406
8.2311,3.8500,0.4262,0.4262
8.2311,3.9000,0.4149,0.4149
8.1811,3.9500,0.3571,0.3571
8.1811,4.0000,0.3518,0.3518
8.1811,4.0500,0.3500,0.3500
8.1311,4.1000,0.3000,0.3000
8.1311,4.1500,0.3000,0.3000
8.1311,4.2000,0.3000,0.3000
8.1311,4.2500,0.3000,0.3000
8.0811,4.3000,0.2500,0.2500
8.0811,4.3500,0.2521,0.2521
8.0811,4.4000,0.2583,0.2583
8.0811,4.4500,0.2685,0.2685
8.0311,4.5000,0.2352,0.2352
8.0311,4.5500,0.2542,0.2542
8.0311,4.6000,0.2765,0.2765
7.9811,4.6500,0.2542,0.2542
7.9311,4.7000,0.2331,0.2331
7.9311,4.7500,0.2521,0.2521
7.8811,4.8000,0.2331,0.2331
7.8311,4.8500,0.2201,0.2201
7.7811,4.9000,0.2090,0.2090
7.7811,4.9500,0.2157,0.2157
7.7311,5.0000,0.2201,0.2201
7.6811,5.0500,0.2090,0.2090
7.6811,5.1000,0.2090,0.2090
7.6311,5.1500,0.2157,0.2157
7.5811,5.2000,0.2157,0.2157
7.5311,5.2500,0.2157,0.2157
7.4811,5.3000,0.2157,0.2157
7.4311,5.3500,0.2157,0.2157
7.3811,5.3500,0.2090,0.2090
7.3311,5.4000,0.2201,0.2201
7.2811,5.4500,0.2331,0.2331
7.2311,5.5000,0.2521,0.2521
7.1811,5.5000,0.2331,0.2331
7.1311,5.5500,0.2542,0.2542
7.0811,5.5500,0.2352,0.2352
7.0311,5.6000,0.2685,0.2685
6.9811,5.6000,0.2583,0.2583
6.9311,5.6500,0.3000,0.3000
6.8811,5.6500,0.2825,0.2825
6.8311,5.7000,0.3171,0.3171
6.8311,5.7500,0.3659,0.3659
